model,break,pstar,statistic,p-value,variable
model_a,134,12,-4.124739246178528,0.022835960881777466,y
model_b,45,12,-4.524029196057488,0.01,y
model_c,43,12,-4.562610740251847,0.015080205143941122,y
model_a,141,1,-0.9023708375526432,0.9684824485358536,p
model_b,128,1,-2.8685957031376907,0.40553142363747297,p
model_c,128,1,-2.8720853204443895,0.5061648211384061,p
model_a,157,5,-3.1654574554700803,0.2182640670601596,dtp
model_b,163,5,-2.6923151358626085,0.40510173646501735,dtp
model_c,157,5,-3.187986934339064,0.2969963997145198,dtp
model_a,134,48,-2.932835605938118,0.31584849145671046,dty
model_b,135,50,-3.1639475547381153,0.2712719730795248,dty
model_c,130,50,-3.447467921277941,0.2761060466439088,dty
model_a,134,2,-2.871920138969419,0.3389466258413002,i
model_b,123,2,-3.105603630974353,0.3181755655004601,i
model_c,134,2,-3.270118572698921,0.3378397559914822,i
