,DF,ADF,PP,KPSS,Perron,Zivot-Andrews,Bierens,Murray-Nelson,GLS
Iteración_0,0.20442960826213225,0.06148094343726153,0.04269545556643197,0.01,0.971441239953682,0.48038518432657074,0.0641324588415628,0.14716933974902707,0.01
Iteración_1,0.5437500672816407,0.22020243340805734,0.09911147514490024,0.1,0.6926716262001118,0.10207009513349682,1.0,0.8223688528188335,0.01
Iteración_2,0.20442960826213225,0.06148094343726153,0.04269545556643197,0.01,0.971441239953682,0.48038518432657074,0.0641324588415628,0.14716933974902707,0.01
Iteración_3,0.5437500672816407,0.22020243340805734,0.09911147514490024,0.1,0.6926716262001118,0.10207009513349682,1.0,0.8223688528188335,0.01
Iteración_4,0.20442960826213225,0.06148094343726153,0.04269545556643197,0.01,0.971441239953682,0.48038518432657074,0.0641324588415628,0.14716933974902707,0.01
Iteración_5,0.5437500672816407,0.22020243340805734,0.09911147514490024,0.1,0.6926716262001118,0.10207009513349682,1.0,0.8223688528188335,0.01
Iteración_6,0.20442960826213225,0.06148094343726153,0.04269545556643197,0.01,0.971441239953682,0.48038518432657074,0.0641324588415628,0.14716933974902707,0.01
Iteración_7,0.5437500672816407,0.22020243340805734,0.09911147514490024,0.1,0.6926716262001118,0.10207009513349682,1.0,0.8223688528188335,0.01
Iteración_8,0.20442960826213225,0.06148094343726153,0.04269545556643197,0.01,0.971441239953682,0.48038518432657074,0.0641324588415628,0.14716933974902707,0.01
Iteración_9,0.5437500672816407,0.22020243340805734,0.09911147514490024,0.1,0.6926716262001118,0.10207009513349682,1.0,0.8223688528188335,0.01
Iteración_10,0.20442960826213225,0.06148094343726153,0.04269545556643197,0.01,0.971441239953682,0.48038518432657074,0.0641324588415628,0.14716933974902707,0.01
Iteración_11,0.5437500672816407,0.22020243340805734,0.09911147514490024,0.1,0.6926716262001118,0.10207009513349682,1.0,0.8223688528188335,0.01
Iteración_12,0.20442960826213225,0.06148094343726153,0.04269545556643197,0.01,0.971441239953682,0.48038518432657074,0.0641324588415628,0.14716933974902707,0.01
Iteración_13,0.5437500672816407,0.22020243340805734,0.09911147514490024,0.1,0.6926716262001118,0.10207009513349682,1.0,0.8223688528188335,0.01
Iteración_14,0.20442960826213225,0.06148094343726153,0.04269545556643197,0.01,0.971441239953682,0.48038518432657074,0.0641324588415628,0.14716933974902707,0.01
Iteración_15,0.5437500672816407,0.22020243340805734,0.09911147514490024,0.1,0.6926716262001118,0.10207009513349682,1.0,0.8223688528188335,0.01
Iteración_16,0.1693530757838504,0.10813538768541586,0.09731389820441352,0.01,0.957657019972871,0.4760728922233271,1.0,0.21044072423489252,0.01
Iteración_17,0.5501901374864793,0.9555742954540809,1.0,0.1,0.5465623000826634,0.05318857841136757,1.0,0.5278479952701388,0.01
Iteración_18,0.1693530757838504,0.10813538768541586,0.09731389820441352,0.01,0.957657019972871,0.4760728922233271,1.0,0.21044072423489252,0.01
Iteración_19,0.5501901374864793,0.9555742954540809,1.0,0.1,0.5465623000826634,0.05318857841136757,1.0,0.5278479952701388,0.01
Iteración_20,0.1693530757838504,0.10813538768541586,0.09731389820441352,0.01,0.957657019972871,0.4760728922233271,1.0,0.21044072423489252,0.01
Iteración_21,0.5501901374864793,0.9555742954540809,1.0,0.1,0.5465623000826634,0.05318857841136757,1.0,0.5278479952701388,0.01
Iteración_22,0.1693530757838504,0.10813538768541586,0.09731389820441352,0.01,0.957657019972871,0.4760728922233271,1.0,0.21044072423489252,0.01
Iteración_23,0.5501901374864793,0.9555742954540809,1.0,0.1,0.5465623000826634,0.05318857841136757,1.0,0.5278479952701388,0.01
Iteración_24,0.1693530757838504,0.10813538768541586,0.09731389820441352,0.01,0.957657019972871,0.4760728922233271,1.0,0.21044072423489252,0.01
Iteración_25,0.5501901374864793,0.9555742954540809,1.0,0.1,0.5465623000826634,0.05318857841136757,1.0,0.5278479952701388,0.01
Iteración_26,0.1693530757838504,0.10813538768541586,0.09731389820441352,0.01,0.957657019972871,0.4760728922233271,1.0,0.21044072423489252,0.01
Iteración_27,0.5501901374864793,0.9555742954540809,1.0,0.1,0.5465623000826634,0.05318857841136757,1.0,0.5278479952701388,0.01
Iteración_28,0.1693530757838504,0.10813538768541586,0.09731389820441352,0.01,0.957657019972871,0.4760728922233271,1.0,0.21044072423489252,0.01
Iteración_29,0.5501901374864793,0.9555742954540809,1.0,0.1,0.5465623000826634,0.05318857841136757,1.0,0.5278479952701388,0.01
Iteración_30,0.1693530757838504,0.10813538768541586,0.09731389820441352,0.01,0.957657019972871,0.4760728922233271,1.0,0.21044072423489252,0.01
Iteración_31,0.5501901374864793,0.9555742954540809,1.0,0.1,0.5465623000826634,0.05318857841136757,1.0,0.5278479952701388,0.01
Iteración_32,0.7847752781244877,0.5789666632367894,1.0,0.1,0.901088040811405,0.8208152632881424,1.0,0.8337699513771963,0.01
Iteración_33,0.9310668675223981,0.7334761616791412,1.0,0.1,0.9172171418339969,0.07338802889193216,1.0,0.8731090866389412,1.0
Iteración_34,0.7847752781244877,0.5789666632367894,1.0,0.1,0.901088040811405,0.8208152632881424,1.0,0.8337699513771963,0.01
Iteración_35,0.9310668675223981,0.7334761616791412,1.0,0.1,0.9172171418339969,0.07338802889193216,1.0,0.8731090866389412,1.0
Iteración_36,0.7847752781244877,0.5789666632367894,1.0,0.1,0.901088040811405,0.8208152632881424,1.0,0.8337699513771963,0.01
Iteración_37,0.9310668675223981,0.7334761616791412,1.0,0.1,0.9172171418339969,0.07338802889193216,1.0,0.8731090866389412,1.0
Iteración_38,0.7847752781244877,0.5789666632367894,1.0,0.1,0.901088040811405,0.8208152632881424,1.0,0.8337699513771963,0.01
Iteración_39,0.9310668675223981,0.7334761616791412,1.0,0.1,0.9172171418339969,0.07338802889193216,1.0,0.8731090866389412,1.0
Iteración_40,0.7847752781244877,0.5789666632367894,1.0,0.1,0.901088040811405,0.8208152632881424,1.0,0.8337699513771963,0.01
Iteración_41,0.9310668675223981,0.7334761616791412,1.0,0.1,0.9172171418339969,0.07338802889193216,1.0,0.8731090866389412,1.0
Iteración_42,0.7847752781244877,0.5789666632367894,1.0,0.1,0.901088040811405,0.8208152632881424,1.0,0.8337699513771963,0.01
Iteración_43,0.9310668675223981,0.7334761616791412,1.0,0.1,0.9172171418339969,0.07338802889193216,1.0,0.8731090866389412,1.0
Iteración_44,0.7847752781244877,0.5789666632367894,1.0,0.1,0.901088040811405,0.8208152632881424,1.0,0.8337699513771963,0.01
Iteración_45,0.9310668675223981,0.7334761616791412,1.0,0.1,0.9172171418339969,0.07338802889193216,1.0,0.8731090866389412,1.0
Iteración_46,0.7847752781244877,0.5789666632367894,1.0,0.1,0.901088040811405,0.8208152632881424,1.0,0.8337699513771963,0.01
Iteración_47,0.9310668675223981,0.7334761616791412,1.0,0.1,0.9172171418339969,0.07338802889193216,1.0,0.8731090866389412,1.0
Iteración_48,0.9700933405131589,0.4540070184744559,1.0,0.1,0.99,0.232777486222605,0.01,0.9743822787507361,1.0
Iteración_49,0.648269087174421,0.32871271816342473,1.0,0.1,0.7837493343554564,0.15338118530115363,1.0,0.8927525426790273,0.01
