,p,BIC,AIC,HQC
0,0,-2.3634273178023477,-2.4303276169703176,-2.4032431695483867
1,1,-2.375648696788858,-2.459571762393057,-2.4255923071709034
2,2,-2.399271635176364,-2.5003394132917247,-2.4594142261672967
3,3,-2.3766538847468794,-2.4949897983341036,-2.4470675561439013
4,4,-2.350332186517176,-2.4860611603516665,-2.431089931323889
5,5,-2.4159592411207367,-2.5692077272590597,-2.507134961279317
6,6,-2.4007646220256356,-2.571660625823556,-2.5024331445089167
7,7,-2.369574604538955,-2.558247711235548,-2.4818116978125917
8,8,-2.3792213361402235,-2.585802738022986,-2.50210372700542
9,9,-2.3458287878170783,-2.57045131198344,-2.479434178644737
10,10,-2.332975483917366,-2.575773620648467,-2.477382570284875
11,11,-2.327766509366216,-2.5888764411293232,-2.483054998108482
12,12,-2.3863110162091314,-2.665870647305565,-2.5525616438958587
13,13,-2.366760263204526,-2.664909250080505,-2.544054815056156
14,14,-2.3348626203597203,-2.6517424025980842,-2.5232839496148847
15,15,-2.303187632449772,-2.6389414644611016,-2.5028196801975557
16,16,-2.271010858904999,-2.6257838423372446,-2.4819386743957743
17,17,-2.2603854390614417,-2.6343245559477877,-2.4826952005105256
18,18,-2.269609165589946,-2.66286331225526,-2.5033882014888404
19,19,-2.258906896502199,-2.6716269182490806,-2.504243707452694
20,20,-2.2277367980589045,-2.6600755246550163,-2.48472107914588
21,21,-2.192330135677663,-2.644442417666737,-2.461052799396991
22,22,-2.1551432454503114,-2.627185991309954,-2.4356964452088605
23,23,-2.120156207859106,-2.6122884220292795,-2.4126333620644766
24,24,-2.0904936161528056,-2.6028764379596465,-2.3949894329110557
25,25,-2.0600785292904886,-2.59287527279094,-2.3766890317308027
26,26,-2.0404903439741298,-2.5938665387477053,-2.3693128962200802
27,27,-2.0010274513418556,-2.5751508842567388,-2.342160785149641
28,28,-1.9629603722595386,-2.5580011302411116,-2.316504614344352
29,29,-1.9500449270696194,-2.5661754409004756,-2.3161016271420993
30,30,-1.9240280016483906,-2.5614230908298516,-2.302700161183947
31,31,-1.9134775243405673,-2.572314443046751,-2.3048696261052415
32,32,-1.8718971505946904,-2.5523556347512217,-2.276115188952132
33,33,-1.8345223363819443,-2.5367846519024977,-2.251673848407023
34,34,-1.7987060097202845,-2.5229570019352883,-2.2289001071458725
35,35,-1.76533786370119,-2.511765008014197,-2.2086852657256775
36,36,-1.7265803807017543,-2.495373834510211,-2.1831934476859534
37,37,-1.7250880344265997,-2.5164406903450245,-2.1950808025098394
38,38,-1.7223700189893827,-2.5364775594142728,-2.205858235655776
39,39,-1.6888248475927066,-2.5258858006498865,-2.1859260082198357
40,40,-1.6454472515165697,-2.5056630484331057,-2.1562806369401306
41,41,-1.6070757724168607,-2.4906508063611583,-2.1317624875461765
42,42,-1.5682934556850023,-2.4754351421202423,-2.1069564692057616
43,43,-1.5564709773426968,-2.487389815940373,-2.109235162544763
44,44,-1.5317940708787574,-2.4867037090407393,-2.098786247648473
45,45,-1.4836780197839068,-2.462795317823187,-2.065026997801974
46,46,-1.473861365682124,-2.4774064637142095,-2.069697988869872
47,47,-1.442741018329488,-2.4709374049282693,-2.0531982105881514
48,48,-1.4084064091684074,-2.4614809918422855,-2.0336192214579567
49,49,-1.3968545057010817,-2.4750376832471566,-2.0369601645071445
50,50,-1.3480525601695776,-2.4515782969658115,-2.003190517409092
