,p,BIC,AIC,HQC
0,0,3.5871152645870614,3.520214965419092,3.547299412841023
1,1,3.444070717889806,3.360147652285607,3.3941271075077606
2,2,3.437035247290295,3.3359674691749346,3.3768926562993626
3,3,3.379165119216245,3.2608292056290207,3.308751447819223
4,4,3.4113788435638432,3.2756498697293526,3.33062109875713
5,5,3.33844249947017,3.185194013331847,3.2472667793115897
6,6,3.352397493139683,3.1815014893417626,3.250728970656402
7,7,3.3460690422508654,3.1573959355542724,3.2338319489772287
8,8,3.2950279287254656,3.088446526842703,3.172145537860269
9,9,2.805670464305531,2.5810479401391695,2.672065073477872
10,10,2.670998268704868,2.428200131973767,2.5265911823373592
11,11,1.9791559008602868,1.7180459690971794,1.8238674121180205
12,12,1.9614382714140721,1.6818786403176387,1.7951876437273449
13,13,1.992330147754693,1.694181160878714,1.8150355959030633
14,14,2.0199369065812336,1.703057124342869,1.8315155773260687
15,15,2.02593214086771,1.6901783088563802,1.8263000931199262
16,16,2.026085540929362,1.6713125574971164,1.8151577254385869
17,17,2.031730508671307,1.6577913917849614,1.8094207472222235
18,18,2.069034459367214,1.6757803127018998,1.8352554234683196
19,19,2.0917679844881185,1.679047962741237,1.8464311735376235
20,20,2.076339125735966,1.6440003991398544,1.8193548446489904
21,21,2.0856661632490305,1.633553881259957,1.816943499529703
22,22,2.120047303236733,1.648004557377091,1.839494103478184
23,23,2.114042154630694,1.6219099404605202,1.821565000425323
24,24,2.132563420247391,1.6201805984405495,1.8280676034891403
25,25,2.1683357898350026,1.6355390463345518,1.8517252873946888
26,26,2.1810063331834018,1.627630138409826,1.8521837809374508
27,27,2.1889627472940196,1.6148393143791364,1.847829413486234
28,28,2.149459514418983,1.55441875643741,1.7959152723341694
29,29,2.1842394926967783,1.5681089788659226,1.8181827926242984
30,30,2.2022408360995076,1.5648457469180468,1.8235686765639514
31,31,2.1734608095713397,1.5146238908651561,1.7820687078066655
32,32,2.18142051756093,1.5009620334043985,1.7772024792034884
33,33,2.208699931156924,1.506437615636371,1.7915484191318458
34,34,2.2376873063247205,1.5134363141097165,1.8074932088991322
35,35,2.2317685441913553,1.4853413998783487,1.7884211421668677
36,36,2.2680064599706338,1.4992130061621771,1.8113933929864343
37,37,2.2900247254433803,1.4986720695249558,1.8200319573601407
38,38,2.329307869776507,1.515200329351617,1.8458196531101136
39,39,2.335184945416133,1.4981239923589529,1.8380837847890032
40,40,2.376785219220147,1.5165694223036108,1.8659518337965861
41,41,2.4184358465364344,1.5348608125921372,1.893749131407119
42,42,2.4583959576584475,1.5512542712232076,1.9197329441376882
43,43,2.478801223518579,1.547882384920903,1.9260370383165129
44,44,2.5261938090063736,1.5712841708443914,1.9592016322366579
45,45,2.526216107234059,1.5470988091947793,1.944867129215992
46,46,2.564712220424198,1.561167122392113,1.9688755972364504
