,p,BIC,AIC,HQC
0,0,-11.05683717033501,-11.12373746950298,-11.09665302208105
1,1,-11.924255967237267,-12.008179032841465,-11.974199577619311
2,2,-12.200627113094216,-12.301694891209577,-12.260769704085149
3,3,-12.184403890210836,-12.30273980379806,-12.254817561607858
4,4,-12.223203759703658,-12.358932733538149,-12.303961504510372
5,5,-12.235758510673055,-12.389006996811379,-12.326934230831634
6,6,-12.217017836587141,-12.387913840385062,-12.318686359070423
7,7,-12.220352434238107,-12.4090255409347,-12.332589527511743
8,8,-12.191181306506643,-12.397762708389406,-12.31406369737184
9,9,-12.158480185924969,-12.38310271009133,-12.292085576752628
10,10,-12.127629631503018,-12.37042776823412,-12.272036717870527
11,11,-12.098696423702366,-12.359806355465475,-12.253984912444633
12,12,-12.066272250452132,-12.345831881548564,-12.232522878138859
13,13,-12.039727727764127,-12.337876714640105,-12.217022279615756
14,14,-12.010975752450676,-12.327855534689041,-12.19939708170584
15,15,-11.981630944273286,-12.317384776284616,-12.18126299202107
16,16,-11.968355589451198,-12.323128572883444,-12.179283404941973
17,17,-11.932155963880671,-12.306095080767017,-12.154465725329755
18,18,-11.898148543718428,-12.291402690383741,-12.13192757961732
19,19,-11.870079025811869,-12.28279904755875,-12.115415836762365
20,20,-11.85088523056946,-12.283223957165571,-12.107869511656435
21,21,-11.815197277934356,-12.26730955992343,-12.083919941653685
22,22,-11.782586425133173,-12.254629170992816,-12.063139624891722
23,23,-11.781842658764965,-12.27397487293514,-12.074319812970337
24,24,-11.876618784400593,-12.389001606207433,-12.181114601158843
25,25,-11.844582948711771,-12.377379692212221,-12.161193451152085
26,26,-11.808470400412522,-12.361846595186098,-12.137292952658473
27,27,-11.784807065544888,-12.35893049845977,-12.125940399352672
28,28,-11.750769392221269,-12.34581015020284,-12.10431363430608
29,29,-11.743262065043258,-12.359392578874115,-12.109318765115738
30,30,-11.703773304259073,-12.341168393440535,-12.08244546379463
31,31,-11.667998226449672,-12.326835145155856,-12.059390328214347
32,32,-11.632218305132744,-12.312676789289275,-12.036436343490186
33,33,-11.609919870395847,-12.3121821859164,-12.027071382420926
34,34,-11.568216518819662,-12.292467511034666,-11.99841061624525
35,35,-11.546522400648843,-12.29294954496185,-11.989869802673331
36,36,-11.50298165748501,-12.271775111293467,-11.95959472446921
37,37,-11.463969214413183,-12.255321870331608,-11.933961982496422
38,38,-11.419132787959132,-12.233240328384023,-11.902621004625525
39,39,-11.383671007760725,-12.220731960817906,-11.880772168387855
40,40,-11.341994239849766,-12.202210036766303,-11.852827625273328
41,41,-11.299873487487151,-12.18344852143145,-11.824560202616468
42,42,-11.261704165759992,-12.168845852195233,-11.800367179280752
43,43,-11.240904952182417,-12.171823790780094,-11.793669137384484
44,44,-11.195902485049135,-12.150812123211118,-11.762894661818851
45,45,-11.14906202824169,-12.128179326280971,-11.730411006259757
46,46,-11.101857335955057,-12.105402433987143,-11.697693959142805
47,47,-11.07026691315819,-12.098463299756972,-11.680724105416854
48,48,-11.02204751681799,-12.075122099491868,-11.647260329107539
49,49,-10.98758692501938,-12.065770102565455,-11.627692583825443
50,50,-10.949283587632154,-12.052809324428388,-11.60442154487167
