,p,BIC,AIC,HQC
0,0,-11.127601323196235,-11.194501622364205,-11.167417174942274
1,1,-11.144133593561442,-11.22805665916564,-11.194077203943486
2,2,-11.132733931739113,-11.233801709854474,-11.192876522730046
3,3,-11.147247701570592,-11.265583615157816,-11.217661372967614
4,4,-11.122237829030556,-11.257966802865047,-11.20299557383727
5,5,-11.108082615420892,-11.261331101559216,-11.199258335579472
6,6,-11.17786422782767,-11.34876023162559,-11.27953275031095
7,7,-11.151423275498882,-11.340096382195474,-11.26366036877252
8,8,-11.16010190895182,-11.366683310834583,-11.282984299817016
9,9,-11.134095604368158,-11.35871812853452,-11.267700995195817
10,10,-11.12221904351068,-11.365017180241782,-11.26662612987819
11,11,-11.10770537955644,-11.36881531131955,-11.262993868298707
12,12,-11.117870343634987,-11.39742997473142,-11.284120971321714
13,13,-11.146503163728488,-11.444652150604465,-11.323797715580117
14,14,-11.124494877922128,-11.441374660160493,-11.312916207177292
15,15,-11.102762452266404,-11.438516284277734,-11.302394500014188
16,16,-11.077061988248955,-11.431834971681202,-11.28798980373973
17,17,-11.045544249512288,-11.419483366398634,-11.267854010961372
18,18,-11.043540157487078,-11.436794304152391,-11.27731919338597
19,19,-11.053106027663587,-11.465826049410468,-11.298442838614083
20,20,-11.02218204817254,-11.454520774768651,-11.279166329259516
21,21,-10.9856047921612,-11.437717074150273,-11.254327455880528
22,22,-10.952325554393715,-11.424368300253358,-11.232878754152264
23,23,-10.916817811501526,-11.4089500256717,-11.209294965706897
24,24,-10.889903001502503,-11.402285823309343,-11.194398818260753
25,25,-10.86818475922236,-11.40098150272281,-11.184795261662675
26,26,-10.843598249755876,-11.396974444529452,-11.172420802001827
27,27,-10.810649452856365,-11.384772885771248,-11.15178278666415
28,28,-10.776422735155197,-11.37146349313677,-11.129966977240011
29,29,-10.742600978032504,-11.358731491863361,-11.108657678104985
30,30,-10.732421289257612,-11.369816378439074,-11.111093448793168
31,31,-10.706102383137969,-11.364939301844153,-11.097494484902644
32,32,-10.666032018270226,-11.346490502426757,-11.070250056627668
33,33,-10.63680599975235,-11.339068315272902,-11.053957511777428
34,34,-10.593553622792266,-11.317804615007269,-11.023747720217854
35,35,-10.578812744345752,-11.325239888658759,-11.02216014637024
36,36,-10.548820561700804,-11.31761401550926,-11.005433628685003
37,37,-10.522173393037201,-11.313526048955627,-10.99216616112044
38,38,-10.51296804099866,-11.32707558142355,-10.996456257665052
39,39,-10.495900916270104,-11.332961869327285,-10.993002076897234
40,40,-10.454105799698665,-11.314321596615201,-10.964939185122226
41,41,-10.416271487489833,-11.299846521434132,-10.94095820261915
42,42,-10.372034279254946,-11.279175965690186,-10.910697292775705
43,43,-10.330880430748428,-11.261799269346104,-10.883644615950494
44,44,-10.366350865154066,-11.321260503316049,-10.933343041923782
45,45,-10.321499344290503,-11.300616642329784,-10.90284832230857
46,46,-10.30315621345739,-11.306701311489476,-10.898992836645139
47,47,-10.26110491697239,-11.289301303571172,-10.871562109231053
48,48,-10.243632873773356,-11.296707456447233,-10.868845686062905
49,49,-10.21517676053244,-11.293359938078515,-10.855282419338502
50,50,-10.178458719277064,-11.281984456073298,-10.833596676516578
