,p,BIC,AIC,HQC
0,0,-5.811442935512318,-5.878343234680288,-5.851258787258356
1,1,-5.798311138168653,-5.882234203772852,-5.848254748550699
2,2,-5.808949112900741,-5.910016891016102,-5.869091703891674
3,3,-5.787374946407661,-5.905710859994885,-5.857788617804683
4,4,-5.809990524766402,-5.945719498600893,-5.890748269573116
5,5,-5.788939369316441,-5.942187855454763,-5.88011508947502
6,6,-5.846801638082838,-6.017697641880758,-5.948470160566119
7,7,-5.859736150191168,-6.048409256887761,-5.971973243464805
8,8,-5.8450223023681085,-6.051603704250871,-5.967904693233305
9,9,-5.915545708619415,-6.140168232785777,-6.049151099447074
10,10,-6.284483008822207,-6.527281145553308,-6.4288900951897165
11,11,-6.451940465872698,-6.713050397635805,-6.607228954614964
12,12,-7.2725195837138,-7.552079214810234,-7.438770211400527
13,13,-7.244178266615781,-7.54232725349176,-7.421472818467411
14,14,-7.241077095473311,-7.557956877711675,-7.429498424728475
15,15,-7.2248595723300655,-7.560613404341396,-7.42449162007785
16,16,-7.214464398293385,-7.569237381725631,-7.425392213784161
17,17,-7.184241566404276,-7.558180683290621,-7.406551327853359
18,18,-7.170320752949692,-7.563574899615006,-7.404099788848586
19,19,-7.1335218018131235,-7.546241823560005,-7.378858612763618
20,20,-7.11009985113635,-7.542438577732462,-7.367084132223325
21,21,-7.115842310303689,-7.567954592292763,-7.384564974023016
22,22,-7.09318396170005,-7.565226707559693,-7.3737371614586
23,23,-7.055048954801999,-7.547181168972172,-7.34752610900737
24,24,-7.1128755343569665,-7.625258356163808,-7.417371351115217
25,25,-7.083680320245493,-7.616477063745944,-7.4002908226858075
26,26,-7.064053883052699,-7.617430077826275,-7.39287643529865
27,27,-7.0593244806729585,-7.633447913587842,-7.4004578144807445
28,28,-7.044252743830985,-7.639293501812558,-7.397796985915799
29,29,-7.066955126394754,-7.6830856402256105,-7.433011826467235
30,30,-7.035306305345849,-7.67270139452731,-7.4139784648814056
31,31,-7.0241993360627575,-7.6830362547689415,-7.415591437827432
32,32,-7.022436196849651,-7.702894681006182,-7.426654235207092
33,33,-7.009981713590555,-7.712244029111108,-7.427133225615633
34,34,-6.971848731137795,-7.696099723352798,-7.402042828563383
35,35,-6.931576883474903,-7.678004027787909,-7.37492428549939
36,36,-6.94912226417164,-7.717915717980096,-7.405735331155839
37,37,-6.914929235276832,-7.706281891195256,-7.384922003360071
38,38,-6.883533018355289,-7.697640558780178,-7.3670212350216815
39,39,-6.8468659653895365,-7.6839269184467165,-7.343967126016667
40,40,-6.833065255816427,-7.693281052732964,-7.343898641239988
