,p,BIC,AIC,HQC
0,0,-2.374343477900731,-2.4412437770687005,-2.4141593296467696
1,1,-2.3808605152366047,-2.4647835808408036,-2.43080412561865
2,2,-2.401525420013615,-2.5025931981289755,-2.4616680110045475
3,3,-2.3787084971344785,-2.4970444107217027,-2.4491221685315003
4,4,-2.3528443456882018,-2.4885733195226925,-2.433602090494915
5,5,-2.416726258112895,-2.569974744251218,-2.5079019782714753
6,6,-2.404006208875554,-2.5749022126734746,-2.5056747313588352
7,7,-2.3735188609417652,-2.562191967638358,-2.485755954215402
8,8,-2.3825672623286653,-2.5891486642114283,-2.505449653193862
9,9,-2.348899862128515,-2.5735223862948766,-2.482505252956174
10,10,-2.3387508733007394,-2.5815490100318406,-2.4831579596682483
11,11,-2.333838710418603,-2.5949486421817105,-2.4891271991608694
12,12,-2.39409671283377,-2.6736563439302037,-2.5603473405204973
13,13,-2.375605092788817,-2.673754079664796,-2.552899644640447
14,14,-2.34645966855569,-2.6633394507940547,-2.534880997810855
15,15,-2.3131408799543958,-2.6488947119657253,-2.5127729277021795
16,16,-2.2802355644044026,-2.635008547836648,-2.4911633798951778
17,17,-2.2669489007726407,-2.640888017658986,-2.489258662221724
18,18,-2.272589779223733,-2.665843925889047,-2.5063688151226273
19,19,-2.264937898847986,-2.677657920594868,-2.510274709798481
20,20,-2.2355206647614025,-2.6678593913575144,-2.492504945848378
21,21,-2.2023490056313726,-2.6544612876204465,-2.4710716693507004
22,22,-2.1650408913017283,-2.637083637161371,-2.4455940910602774
23,23,-2.1304163520187354,-2.6225485661889087,-2.422893506224106
24,24,-2.106738580755681,-2.6191214025625222,-2.4112343975139314
25,25,-2.0730704556152943,-2.6058671991157456,-2.3896809580556084
26,26,-2.053405244310076,-2.6067814390836515,-2.3822277965560263
27,27,-2.015604438190979,-2.589727871105862,-2.3567377719987643
28,28,-1.9767692801283716,-2.5718100381099447,-2.330313522213185
29,29,-1.9581469095874389,-2.5742774234182946,-2.324203609659919
30,30,-1.9321516183178171,-2.5695467074992777,-2.3108237778533733
31,31,-1.926259372758965,-2.5850962914651485,-2.317651474523639
32,32,-1.884860967247884,-2.5653194514044153,-2.289079005605325
33,33,-1.845844323003444,-2.5481066385239974,-2.262995835028523
34,34,-1.8116189612754512,-2.535869953490455,-2.241813058701039
35,35,-1.775291355448785,-2.521718499761792,-2.2186387574732724
36,36,-1.7395705143408127,-2.5083639681492693,-2.1961835813250117
37,37,-1.7324391791143383,-2.523791835032763,-2.202431947197578
38,38,-1.729406609750861,-2.543514150175751,-2.212894826417254
39,39,-1.697015572877154,-2.534076525934334,-2.1941167335042833
40,40,-1.65235468801882,-2.512570484935356,-2.163188073442381
41,41,-1.616667751141073,-2.5002427850853706,-2.1413544662703887
42,42,-1.5798247471306301,-2.48696643356587,-2.1184877606513894
43,43,-1.5745864061036146,-2.5055052447012907,-2.1273505913056807
44,44,-1.5452778498415964,-2.5001874880035784,-2.112270026611312
45,45,-1.4972658906856036,-2.476383188724884,-2.0786148687036707
46,46,-1.4912361542426278,-2.4947812522747133,-2.0870727774303757
47,47,-1.466964515333435,-2.4951609019322163,-2.0774217075920984
48,48,-1.4256184126194222,-2.4786929952933003,-2.050831224908971
49,49,-1.4151461656214157,-2.4933293431674906,-2.0552518244274784
50,50,-1.366504052334496,-2.47002978913073,-2.0216420095740104
