,p,BIC,AIC,HQC
0,0,3.5885670588529788,3.5216667596850093,3.5487512071069403
1,1,3.4499313121695803,3.3660082465653813,3.399987701787535
2,2,3.4432236234168196,3.342155845301459,3.383081032425887
3,3,3.389569666420975,3.271233752833751,3.3191559950239533
4,4,3.4222511661076913,3.2865221922732006,3.341493421300978
5,5,3.3468571048329623,3.1936086186946393,3.255681384674382
6,6,3.362417624155668,3.1915216203577472,3.2607491016723866
7,7,3.3535694352010244,3.1648963285044314,3.2413323419273876
8,8,3.2998281981432696,3.0932467962605066,3.1769458072780727
9,9,2.8104736471658454,2.585851122999484,2.6768682563381865
10,10,2.659785185162525,2.416987048431424,2.5153780987950163
11,11,1.9775281970891072,1.7164182653259998,1.822239708346841
12,12,1.9563672590008474,1.676807627904414,1.7901166313141201
13,13,1.9877526810877497,1.6896036942117707,1.81045812923612
14,14,2.0134978962091665,1.6966181139708023,1.825076566954002
15,15,2.0226239829247588,1.6868701509134287,1.8229919351769746
16,16,2.0201351710866122,1.6653621876543667,1.8092073555958372
17,17,2.0250367234243396,1.651097606537994,1.8027269619752562
18,18,2.0618604571363885,1.6686063104710747,1.8280814212374945
19,19,2.083941419353056,1.6712213976061745,1.8386046084025611
20,20,2.061598944850628,1.6292602182545164,1.8046146637636524
21,21,2.0691792229973887,1.6170669410083147,1.8004565592780608
22,22,2.105322252626451,1.6332795067668089,1.824769052867902
23,23,2.105411234807897,1.613279020637723,1.8129340806025258
24,24,2.119012562976653,1.6066297411698116,1.8145167462184029
25,25,2.1568348473721803,1.6240381038717295,1.8402243449318665
26,26,2.171598974702203,1.6182227799286273,1.8427764224562524
27,27,2.1799657001400914,1.6058422672252082,1.8388323663323058
28,28,2.133004651306178,1.537963893324605,1.7794604092213646
29,29,2.1706564610641417,1.554525947233286,1.8045997609916617
30,30,2.1927561770873574,1.5553610879058966,1.8140840175518012
31,31,2.154954095713827,1.4961171770076436,1.763561993949153
32,32,2.152721897482669,1.4722634133261379,1.7485038591252278
33,33,2.1778601959427757,1.4755978804222225,1.7607086839176973
34,34,2.2040906098698456,1.479839617654842,1.7738965124442574
35,35,2.2132199560711943,1.4667928117581877,1.7698725540467066
36,36,2.243837920259744,1.4750444664512874,1.7872248532755446
37,37,2.2672651221207794,1.475912466202355,1.79727235403754
38,38,2.2999845061414357,1.4858769657165458,1.8164962894750425
39,39,2.3185027216301304,1.4814417685729504,1.821401561003001
40,40,2.361774240382345,1.5015584434658091,1.8509408549587845
41,41,2.4015269792346357,1.517951945290338,1.87684026410532
42,42,2.4445121296938024,1.5373704432585624,1.905849116173043
43,43,2.4508950447735187,1.5199762061758424,1.8981308595714523
44,44,2.4955159914680074,1.5406063533060252,1.9285238146982917
45,45,2.4877706420405916,1.5086533440013112,1.906421664022524
46,46,2.514338628005908,1.5107935299738227,1.91850200481816
47,47,2.4943859432479307,1.4661895566491494,1.8839287509892673
48,48,2.5251358418645893,1.4720612591907116,1.8999230295750404
49,49,2.574364706230326,1.496181528684251,1.934259047424263
50,50,2.61060522019122,1.5070794833949863,1.9554672629517056
