,p,BIC,AIC,HQC
0,0,-11.059242875838374,-11.126143175006344,-11.099058727584413
1,1,-11.930455516693314,-12.014378582297512,-11.980399127075358
2,2,-12.22075352580502,-12.32182130392038,-12.280896116795953
3,3,-12.212361608726626,-12.33069752231385,-12.282775280123648
4,4,-12.254677814067456,-12.390406787901947,-12.33543555887417
5,5,-12.27786769543751,-12.431116181575835,-12.36904341559609
6,6,-12.24999137195233,-12.420887375750251,-12.351659894435612
7,7,-12.263674087259727,-12.452347193956319,-12.375911180533365
8,8,-12.241181807508115,-12.447763209390878,-12.364064198373311
9,9,-12.21425807824857,-12.438880602414931,-12.347863469076229
10,10,-12.182067786202824,-12.424865922933925,-12.326474872570333
11,11,-12.150360971760794,-12.411470903523902,-12.30564946050306
12,12,-12.121538690037324,-12.401098321133757,-12.287789317724052
13,13,-12.097036894976506,-12.395185881852484,-12.274331446828135
14,14,-12.063516288778983,-12.380396071017348,-12.251937618034146
15,15,-12.02840688437457,-12.3641607163859,-12.228038932122354
16,16,-12.008333594941305,-12.363106578373552,-12.21926141043208
17,17,-11.971658573156125,-12.34559769004247,-12.19396833460521
18,18,-11.937576657511732,-12.330830804177046,-12.171355693410625
19,19,-11.908695145850363,-12.321415167597245,-12.154031956800859
20,20,-11.90012157853981,-12.332460305135921,-12.157105859626785
21,21,-11.863573584351776,-12.31568586634085,-12.132296248071105
22,22,-11.827243180064919,-12.299285925924561,-12.107796379823467
23,23,-11.841979472072836,-12.334111686243011,-12.134456626278208
24,24,-11.92348214909834,-12.43586497090518,-12.22797796585659
25,25,-11.893642485515397,-12.426439229015847,-12.21025298795571
26,26,-11.862519425344935,-12.41589562011851,-12.191341977590886
27,27,-11.836409178067408,-12.41053261098229,-12.177542511875192
28,28,-11.80239286036132,-12.397433618342891,-12.155937102446131
29,29,-11.792031811425973,-12.40816232525683,-12.158088511498454
30,30,-11.757554391515598,-12.394949480697058,-12.136226551051152
31,31,-11.731240976632359,-12.390077895338543,-12.122633078397033
32,32,-11.698913889610273,-12.379372373766804,-12.103131927967715
33,33,-11.684628934764659,-12.386891250285212,-12.101780446789737
34,34,-11.649352885047861,-12.373603877262864,-12.079546982473449
35,35,-11.612620729297976,-12.359047873610983,-12.055968131322464
36,36,-11.57279524215894,-12.341588695967395,-12.029408309143138
37,37,-11.529537872000697,-12.320890527919122,-11.999530640083936
38,38,-11.490207738968971,-12.304315279393862,-11.973695955635364
39,39,-11.448947549809727,-12.286008502866908,-11.946048710436857
40,40,-11.41037786163992,-12.270593658556457,-11.921211247063482
41,41,-11.37820414284088,-12.26177917678518,-11.902890857970197
42,42,-11.333980124140616,-12.241121810575857,-11.872643137661376
43,43,-11.302213565120528,-12.233132403718205,-11.854977750322595
44,44,-11.262713716233614,-12.217623354395597,-11.82970589300333
45,45,-11.216372143200562,-12.195489441239843,-11.797721121218629
46,46,-11.173601782182258,-12.177146880214345,-11.769438405370007
47,47,-11.134009358377611,-12.162205744976394,-11.744466550636275
48,48,-11.085996084195516,-12.139070666869394,-11.711208896485065
49,49,-11.047785309588948,-12.125968487135022,-11.68789096839501
50,50,-11.010428360877109,-12.113954097673343,-11.665566318116625
