,p,BIC,AIC,HQC
0,0,-11.157897556966617,-11.224797856134588,-11.197713408712657
1,1,-11.160945104802902,-11.2448681704071,-11.210888715184947
2,2,-11.142320419513364,-11.243388197628725,-11.202463010504298
3,3,-11.149329536957797,-11.267665450545021,-11.219743208354819
4,4,-11.122791676145553,-11.258520649980044,-11.203549420952267
5,5,-11.107108384709033,-11.260356870847357,-11.198284104867612
6,6,-11.182156711719863,-11.353052715517784,-11.283825234203144
7,7,-11.152885348793127,-11.34155845548972,-11.265122442066765
8,8,-11.168678557023142,-11.375259958905906,-11.291560947888339
9,9,-11.138978654871261,-11.363601179037623,-11.27258404569892
10,10,-11.129597855147509,-11.37239599187861,-11.274004941515019
11,11,-11.108616057112993,-11.369725988876102,-11.26390454585526
12,12,-11.130382349405238,-11.40994198050167,-11.296632977091965
13,13,-11.147998291921246,-11.446147278797223,-11.325292843772875
14,14,-11.123317775929298,-11.440197558167663,-11.311739105184461
15,15,-11.102417077187456,-11.438170909198785,-11.30204912493524
16,16,-11.076021540590643,-11.43079452402289,-11.286949356081418
17,17,-11.042516948495221,-11.416456065381567,-11.264826709944305
18,18,-11.046420438382633,-11.439674585047946,-11.280199474281526
19,19,-11.064959964230315,-11.477679985977197,-11.310296775180811
20,20,-11.030674843002439,-11.46301356959855,-11.287659124089414
21,21,-10.99252079345218,-11.444633075441253,-11.261243457171508
22,22,-10.958197990259317,-11.430240736118959,-11.238751190017865
23,23,-10.920756177497477,-11.412888391667652,-11.213233331702849
24,24,-10.896188817826507,-11.408571639633347,-11.200684634584757
25,25,-10.876017798164241,-11.408814541664691,-11.192628300604555
26,26,-10.856630632645558,-11.410006827419133,-11.185453184891509
27,27,-10.821058485763084,-11.395181918677967,-11.162191819570868
28,28,-10.790012955821172,-11.385053713802746,-11.143557197905986
29,29,-10.75912753071696,-11.375258044547817,-11.12518423078944
30,30,-10.74910327071154,-11.386498359893,-11.127775430247095
31,31,-10.724271354634478,-11.383108273340662,-11.115663456399153
32,32,-10.685442876836197,-11.365901360992728,-11.089660915193639
33,33,-10.66056989501238,-11.362832210532932,-11.077721407037458
34,34,-10.617381951540539,-11.341632943755542,-11.047576048966127
35,35,-10.609099526227762,-11.355526670540769,-11.05244692825225
36,36,-10.579747799518174,-11.34854125332663,-11.036360866502372
37,37,-10.560293916129565,-11.35164657204799,-11.030286684212804
38,38,-10.544067236258526,-11.358174776683416,-11.027555452924918
39,39,-10.520485471623294,-11.357546424680475,-11.017586632250424
40,40,-10.479693918901576,-11.339909715818113,-10.990527304325138
41,41,-10.44079115036103,-11.324366184305328,-10.965477865490346
42,42,-10.395945400961697,-11.303087087396937,-10.934608414482456
43,43,-10.354725412082315,-11.285644250679992,-10.907489597284382
44,44,-10.406015136720322,-11.360924774882305,-10.973007313490038
45,45,-10.369430422966412,-11.348547721005692,-10.950779400984478
46,46,-10.33962712374442,-11.343172221776506,-10.935463746932168
47,47,-10.300445769620413,-11.328642156219196,-10.910902961879078
48,48,-10.306079766473166,-11.359154349147044,-10.931292578762715
49,49,-10.262318962048033,-11.340502139594108,-10.902424620854095
50,50,-10.223855323603784,-11.327381060400018,-10.8789932808433
