,p,BIC,AIC,HQC
0,0,-5.816677601266273,-5.883577900434243,-5.856493453012311
1,1,-5.8023353408972715,-5.8862584065014705,-5.852278951279317
2,2,-5.810702307068084,-5.911770085183445,-5.870844898059016
3,3,-5.78842867187335,-5.906764585460574,-5.858842343270372
4,4,-5.810030793724347,-5.9457597675588385,-5.890788538531061
5,5,-5.789152270011977,-5.942400756150299,-5.8803279901705565
6,6,-5.847511022975462,-6.0184070267733825,-5.949179545458743
7,7,-5.859754394848966,-6.048427501545559,-5.971991488122603
8,8,-5.845575593654114,-6.052156995536876,-5.96845798451931
9,9,-5.9156902266665154,-6.140312750832877,-6.049295617494174
10,10,-6.282805261486668,-6.525603398217769,-6.4272123478541765
11,11,-6.46364744566886,-6.724757377431967,-6.618935934411126
12,12,-7.270743462614725,-7.550303093711158,-7.436994090301452
13,13,-7.242757632890097,-7.540906619766076,-7.420052184741727
14,14,-7.240378370694143,-7.557258152932507,-7.428799699949307
15,15,-7.223404941226176,-7.559158773237506,-7.42303698897396
16,16,-7.212090170810131,-7.566863154242377,-7.4230179863009065
17,17,-7.1819728837920165,-7.5559120006783616,-7.4042826452411
18,18,-7.170207896101894,-7.563462042767207,-7.403986932000787
19,19,-7.133103121664998,-7.54582314341188,-7.378439932615493
20,20,-7.110416286117546,-7.542755012713658,-7.3674005672045215
21,21,-7.119735307408605,-7.571847589397678,-7.388457971127933
22,22,-7.100355424722386,-7.572398170582028,-7.380908624480935
23,23,-7.063134201002719,-7.555266415172893,-7.35561135520809
24,24,-7.116134236323032,-7.628517058129874,-7.4206300530812825
25,25,-7.089323840599899,-7.62212058410035,-7.405934343040213
26,26,-7.068350581846549,-7.621726776620125,-7.3971731340925
27,27,-7.065277933668411,-7.639401366583295,-7.406411267476197
28,28,-7.047419770939979,-7.642460528921552,-7.400964013024793
29,29,-7.076926903074739,-7.693057416905595,-7.442983603147219
30,30,-7.043310883309707,-7.680705972491168,-7.421983042845263
31,31,-7.029735286428597,-7.688572205134781,-7.421127388193272
32,32,-7.034903560975171,-7.715362045131702,-7.439121599332612
33,33,-7.030575476631048,-7.732837792151601,-7.447726988656126
34,34,-6.996934926350743,-7.721185918565746,-7.427129023776331
35,35,-6.9628226851537915,-7.709249829466798,-7.406170087178279
36,36,-6.966843115961636,-7.735636569770092,-7.423456182945834
37,37,-6.934200718714713,-7.7255533746331375,-7.404193486797952
38,38,-6.905380821621961,-7.71948836204685,-7.3888690382883535
39,39,-6.875431941663884,-7.712492894721064,-7.372533102291014
40,40,-6.8508317737555195,-7.711047570672056,-7.36166515917908
41,41,-6.806375754077854,-7.689950788022151,-7.331062469207169
42,42,-6.771821787724418,-7.678963474159659,-7.310484801245178
43,43,-6.7278412927265805,-7.658760131324257,-7.280605477928647
44,44,-6.728867670234508,-7.68377730839649,-7.295859847004223
45,45,-6.700045211923783,-7.679162509963063,-7.28139418994185
46,46,-6.682557728948025,-7.68610282698011,-7.2783943521357735
47,47,-6.6621573911238015,-7.690353777722583,-7.272614583382465
48,48,-6.683144393913285,-7.736218976587163,-7.308357206202834
49,49,-6.635980475782462,-7.714163653328536,-7.276086134588525
50,50,-6.594581753662909,-7.698107490459142,-7.249719710902423
