,p,BIC,AIC,HQC
0,0,-2.345309008490041,-2.428934382450003,-2.3950788231725895
1,1,-2.3529790570374156,-2.453686735762454,-2.41291138949587
2,2,-2.3742265568668595,-2.4921389646681136,-2.4443929130229476
3,3,-2.3516413078148988,-2.4868823519145833,-2.4321140751257806
4,4,-2.326051377600711,-2.478746473164513,-2.4169038405082635
5,5,-2.390580931200197,-2.560857026909445,-2.4918872869319526
6,6,-2.3774673103175266,-2.565452914495239,-2.489302685049136
7,7,-2.3470815418386035,-2.5529067491439776,-2.4695220072280257
8,8,-2.355443470430136,-2.5792399891364624,-2.488566060534099
9,9,-2.3218134102685877,-2.5637145901400538,-2.46569613885222
10,10,-2.3119694831653397,-2.5721103439486623,-2.466691361416242
11,11,-2.306888886876197,-2.5854061474235115,-2.4725299415346145
12,12,-2.365155839748801,-2.6621879477887616,-2.5417971316659487
13,13,-2.3455775508835046,-2.6612647134580705,-2.5333011940205243
14,14,-2.315865447352429,-2.6503496619373688,-2.5147546282328803
15,15,-2.2823830297951955,-2.635808116122911,-2.492522027424442
16,16,-2.2491041908144576,-2.621615823418315,-2.470578397079771
17,17,-2.236724667955834,-2.628470409455815,-2.4696206085215406
18,18,-2.2435417282250913,-2.654671063375192,-2.4879470839375717
19,19,-2.2348444867578383,-2.6655088572763233,-2.490848115575746
20,20,-2.204898093803238,-2.6552509340075208,-2.4725900532688376
21,21,-2.1712987734435996,-2.641495546712236,-2.4507703437117
22,22,-2.133849194824598,-2.624047430909611,-2.4251929022661685
23,23,-2.099342808859913,-2.6097021420734263,-2.402652450258075
24,24,-2.073682532562642,-2.6043647408625845,-2.389053199919401
25,25,-2.0398191493592073,-2.5909881943596735,-2.367347255331946
26,26,-2.0187078829240503,-2.590529950856745,-2.3584911869115324
27,27,-1.9804282974722838,-2.5730718411263567,-2.332565932370643
28,28,-1.941168886381989,-2.5548046680504863,-2.305761386031953
29,29,-1.924843330761361,-2.559644466223455,-2.3019926581087646
30,30,-1.8998321205683641,-2.555974124137515,-2.289641696560848
31,31,-1.8912106927995782,-2.5688715234687955,-2.293785426043243
32,32,-1.8494197761200777,-2.5487798848365126,-2.2648660933207814
33,33,-1.8102662696296632,-2.531508647731853,-2.238692146844609
34,34,-1.7755455664456574,-2.518855795297898,-2.2170605611719187
35,35,-1.73946873916594,-2.505035041025434,-2.1941840232936194
36,36,-1.703078989430177,-2.491092279583845,-2.1711073830889815
37,37,-1.696951156049468,-2.507605096258586,-2.1784071623786403
38,38,-1.694594767650645,-2.5280858209427945,-2.189594608523381
39,39,-1.6620713659035078,-2.518598852752715,-2.170733018638245
40,40,-1.6173190511255842,-2.497085207062951,-2.139762286217862
41,41,-1.5813865529539963,-2.4845965876526117,-2.1177329728639633
42,42,-1.5445847824813612,-2.4714469403608454,-2.094957861513442
43,43,-1.5370908146529192,-2.487816437050546,-2.1016159399656678
44,44,-1.507254525141952,-2.482058114098975,-2.0860590389277034
45,45,-1.4589459818420443,-2.4580452655555955,-2.0521592247176232
46,46,-1.454290461205922,-2.4779064611986485,-2.0620438168574244
47,47,-1.4284673381049022,-2.476824438166405,-2.0508942792313825
48,48,-1.387742657413197,-2.4610686743692654,-2.0249787930160075
49,49,-1.3788620237797575,-2.4773882801474567,-2.0310451478463127
50,50,-1.330108940536473,-2.45407033912523,-1.997379082169312
