,p,BIC,AIC,HQC
0,0,3.6129456387749896,3.5293202648150275,3.563175824092441
1,1,3.475713514337144,3.3750058356121055,3.4157811818786894
2,2,3.469305472654669,3.351393064853415,3.399139116498581
3,3,3.416794490408515,3.2815534463088305,3.336321723097633
4,4,3.44963342105651,3.296938325492708,3.3587809581489574
5,5,3.3743120593763063,3.204035963667059,3.273005703644551
6,6,3.3896787841579887,3.201693179980276,3.2778434094263793
7,7,3.380932343147674,3.1751071358422998,3.258491877758252
8,8,3.327529765877605,3.1037332471712786,3.194407175773642
9,9,2.836758100820484,2.594856920949018,2.692875372236852
10,10,2.6851908624558267,2.425050001672504,2.5304689842049246
11,11,2.0056622938465702,1.727145033299256,1.8400212391881532
12,12,1.9842806739189673,1.6872485658790066,1.8076393820018197
13,13,2.0158838911676638,1.7001967285930975,1.8281602480306436
14,14,2.0414883837550315,1.7070041691700915,1.8425992028745801
15,15,2.051237661800082,1.697812575472366,1.8410986641708353
16,16,2.048545888855286,1.6760342562514285,1.8270716825899727
17,17,2.053714718279774,1.661968976779793,1.8208187777140676
18,18,2.0905924844334587,1.6794631492833576,1.8461871287209783
19,19,2.1129107883478713,1.6822464178293859,1.8569071595299633
20,20,2.0901036349908684,1.6397507947865855,1.8224116755252688
21,21,2.0981018903390733,1.627905117070437,1.818630320070973
22,22,2.1345785358986893,1.644380299813676,1.843234828457119
23,23,2.134816121831894,1.624456788618381,1.831506480433732
24,24,2.1479911960415627,1.61730898774162,1.8326205286848039
25,25,2.1861419434392486,1.6349728984387817,1.8586138374665095
26,26,2.2015675734947875,1.6297455055620929,1.8617842695073055
27,27,2.209807193240776,1.617163649586703,1.8576695583424168
28,28,2.1626238682546566,1.5489880865861594,1.798031368604693
29,29,2.20055899011727,1.565757854655176,1.8234096627698664
30,30,2.222799988615508,1.5666579850463576,1.8329904126230239
31,31,2.183850293037686,1.5061894623684686,1.7812755597940213
32,32,2.1819422240783597,1.4825821153619245,1.7664959068776558
33,33,2.207153302825913,1.4859109247237232,1.7787274256109677
34,34,2.2341559352010103,1.4908457063487695,1.7926409404747488
35,35,2.244165036736092,1.478598734876598,1.7894497526084125
36,36,2.2740397079905983,1.48602641783693,1.8060113143317937
37,37,2.298588588459106,1.487934648249988,1.8171325821299336
38,38,2.330860948768372,1.4973698954762225,1.8358611078956357
39,39,2.35034876797795,1.493821281128743,1.8416871152432133
40,40,2.393481186232832,1.5137150302954652,1.8710379511405537
41,41,2.433781292974637,1.530571258276022,1.8974348730646704
42,42,2.4766796519190546,1.5498174940395704,1.9263065728869742
43,43,2.4831927158017537,1.5324670934041267,1.918667590489005
44,44,2.5280301667377327,1.5532265777807095,1.9492256529519816
45,45,2.522809303544513,1.523710019830962,1.9295960606689342
46,46,2.5500356764498946,1.5264196764571678,1.9422823207983917
47,47,2.5294370328117366,1.481079932750234,1.9070100916852564
48,48,2.5591318371838643,1.485805820227796,1.921895701581054
49,49,2.6088335241395573,1.5103072677718585,1.9566504000730025
50,50,2.646590643670356,1.5226292450815992,1.979320502037517
