,p,BIC,AIC,HQC
0,0,-11.106710066712443,-11.190335440672404,-11.156479881394992
1,1,-11.902005575196144,-12.002713253921183,-11.9619379076546
2,2,-12.178108260593095,-12.29602066839435,-12.248274616749184
3,3,-12.159002421317846,-12.29424346541753,-12.239475188628727
4,4,-12.199491001762206,-12.352186097326008,-12.290343464669759
5,5,-12.215909013836452,-12.3861851095457,-12.317215369568208
6,6,-12.193506565348624,-12.381492169526336,-12.305341940080233
7,7,-12.205777093576025,-12.4116023008814,-12.328217558965447
8,8,-12.181626551928117,-12.405423070634443,-12.31474914203208
9,9,-12.156899331662245,-12.398800511533711,-12.300782060245878
10,10,-12.125329497691578,-12.3854703584749,-12.28005137594248
11,11,-12.097891787051944,-12.376409047599259,-12.263532841710362
12,12,-12.064000882082592,-12.361032990122553,-12.24064217399974
13,13,-12.035363231908406,-12.351050394482973,-12.223086875045427
14,14,-12.004518433333727,-12.339002647918669,-12.203407614214179
15,15,-11.975090886148251,-12.328515972475968,-12.185229883777499
16,16,-11.95997881086711,-12.332490443470968,-12.181453017132423
17,17,-11.924186018807232,-12.315931760307212,-12.157081959372938
18,18,-11.88857835684053,-12.299707691990632,-12.13298371255301
19,19,-11.859638485408626,-12.290302855927111,-12.115642114226533
20,20,-11.846515401059373,-12.296868241263656,-12.114207360524972
21,21,-11.80987505179778,-12.280071825066416,-12.08934662206588
22,22,-11.776290784264067,-12.26648902034908,-12.067634491705638
23,23,-11.78989490890917,-12.300254242122685,-12.093204550307334
24,24,-11.870173837086691,-12.400856045386634,-12.18554450444345
25,25,-11.841917466722462,-12.39308651172293,-12.169445572695201
26,26,-11.804336235143104,-12.3761583030758,-12.144119539130587
27,27,-11.784896887039414,-12.377540430693488,-12.137034521937775
28,28,-11.75472130228111,-12.368357083949608,-12.119313801931074
29,29,-11.75044242762621,-12.385243563088304,-12.127591754973613
30,30,-11.711376568391305,-12.367518571960456,-12.10118614438379
31,31,-11.674588853102735,-12.352249683771953,-12.0771635863464
32,32,-11.639243303847334,-12.338603412563769,-12.054689621048038
33,33,-11.636738755279213,-12.357981133381404,-12.06516463249416
34,34,-11.610030217230067,-12.353340446082308,-12.051545211956329
35,35,-11.578755212862443,-12.344321514721939,-12.033470496990123
36,36,-11.536662674834862,-12.324675964988531,-12.004691068493667
37,37,-11.495388321293909,-12.306042261503027,-11.976844327623082
38,38,-11.452469326903723,-12.285960380195872,-11.947469167776458
39,39,-11.409895559826998,-12.266423046676206,-11.918557212561735
40,40,-11.368954563732064,-12.24872071966943,-11.891397798824341
41,41,-11.328187137321681,-12.231397172020296,-11.864533557231647
42,42,-11.282794544574912,-12.209656702454396,-11.833167623606991
43,43,-11.248521411936654,-12.199247034334281,-11.813046537249402
44,44,-11.211675203085694,-12.186478792042717,-11.790479716871445
45,45,-11.182594628380855,-12.181693912094405,-11.775807871256433
46,46,-11.139179682833307,-12.162795682826033,-11.746933038484809
47,47,-11.111524711176695,-12.159881811238199,-11.733951652303176
48,48,-11.06360100333705,-12.136927020293118,-11.70083713893986
49,49,-11.021795985275343,-12.120322241643043,-11.673979109341898
50,50,-11.027490284745783,-12.151451683334539,-11.694760426378622
