,p,BIC,AIC,HQC
0,0,-11.101273719350875,-11.184899093310836,-11.151043534033423
1,1,-11.11656226417027,-11.217269942895308,-11.176494596628725
2,2,-11.105961041446708,-11.223873449247963,-11.176127397602796
3,3,-11.121674946896398,-11.256915990996083,-11.20214771420728
4,4,-11.097967521808503,-11.250662617372305,-11.188819984716055
5,5,-11.083440817683147,-11.253716913392395,-11.184747173414904
6,6,-11.161529792093173,-11.349515396270885,-11.273365166824782
7,7,-11.137486994301845,-11.34331220160722,-11.259927459691268
8,8,-11.13822029426842,-11.362016812974746,-11.271342884372382
9,9,-11.11124692111084,-11.353148100982306,-11.255129649694473
10,10,-11.108512602953079,-11.3686534637364,-11.26323448120398
11,11,-11.09918706515733,-11.377704325704645,-11.264828119815748
12,12,-11.103118277957801,-11.400150385997762,-11.27975956987495
13,13,-11.125215183655715,-11.440902346230283,-11.312938826792736
14,14,-11.106915561303486,-11.441399775888428,-11.305804742183938
15,15,-11.08105619538859,-11.434481281716307,-11.291195193017838
16,16,-11.051919866878189,-11.424431499482047,-11.273394073143502
17,17,-11.020495961036845,-11.412241702536825,-11.253391901602551
18,18,-11.022592455721918,-11.43372179087202,-11.266997811434399
19,19,-11.032214592917315,-11.4628789634358,-11.288218221735223
20,20,-11.001469427132925,-11.451822267337208,-11.269161386598524
21,21,-10.967355347486594,-11.43755212075523,-11.246826917754694
22,22,-10.933196818241647,-11.423395054326662,-11.224540525683219
23,23,-10.903230597824123,-11.413589931037638,-11.206540239222287
24,24,-10.892029372566547,-11.42271158086649,-11.207400039923307
25,25,-10.857763975085295,-11.408933020085762,-11.185292081058034
26,26,-10.82293199758347,-11.394754065516166,-11.162715301570953
27,27,-10.793394090918978,-11.386037634573052,-11.145531725817339
28,28,-10.754245441203368,-11.367881222871866,-11.118837940853332
29,29,-10.717804217637957,-11.352605353100051,-11.09495354498536
30,30,-10.704980466318274,-11.361122469887425,-11.094790042310759
31,31,-10.683963152098045,-11.361623982767263,-11.08653788534171
32,32,-10.645389116982779,-11.344749225699214,-11.060835434183483
33,33,-10.605831934254706,-11.327074312356896,-11.034257811469653
