,p,BIC,AIC,HQC
0,0,-5.838854248875794,-5.922479622835756,-5.888624063558343
1,1,-5.823505796210668,-5.924213474935707,-5.883438128669122
2,2,-5.817328881923125,-5.935241289724379,-5.887495238079213
3,3,-5.788995962997717,-5.924237007097401,-5.869468730308599
4,4,-5.797925478097227,-5.95062057366103,-5.88877794100478
5,5,-5.780360839595465,-5.950636935304713,-5.881667195327221
6,6,-5.824000421212246,-6.011986025389959,-5.935835795943856
7,7,-5.8440921786991336,-6.049917386004507,-5.966532644088556
8,8,-5.823643350568611,-6.047439869274938,-5.956765940672574
9,9,-5.9112492982808185,-6.153150478152285,-6.055132026864451
10,10,-6.2522444824210455,-6.512385343204368,-6.406966360671948
11,11,-6.425468349904961,-6.703985610452276,-6.591109404563379
12,12,-7.260233037819555,-7.557265145859516,-7.436874329736703
13,13,-7.227814130247193,-7.543501292821759,-7.415537773384213
14,14,-7.221763404584428,-7.556247619169368,-7.42065258546488
15,15,-7.207096597072642,-7.560521683400357,-7.417235594701888
16,16,-7.202045334178679,-7.574556966782537,-7.423519540443993
17,17,-7.167848428178951,-7.559594169678932,-7.4007443687446575
18,18,-7.146979192483558,-7.558108527633658,-7.391384548196038
19,19,-7.111165534285966,-7.541829904804452,-7.367169163103874
20,20,-7.085081366412239,-7.535434206616522,-7.3527733258778385
21,21,-7.085830596837796,-7.556027370106432,-7.365302167105896
22,22,-7.06238336038823,-7.552581596473243,-7.353727067829801
23,23,-7.02425461111184,-7.534613944325353,-7.327564252510003
24,24,-7.089155759903851,-7.619837968203794,-7.40452642726061
25,25,-7.0573453101038,-7.608514355104266,-7.384873416076538
26,26,-7.0398409918084575,-7.6116630597411525,-7.3796242957959395
27,27,-7.035070510433434,-7.627714054087507,-7.387208145331794
28,28,-7.026316366827485,-7.639952148495982,-7.3909088664774485
29,29,-7.039512706783023,-7.674313842245117,-7.416662034130427
30,30,-7.010305800311068,-7.666447803880219,-7.400115376303552
31,31,-7.00448247592062,-7.682143306589837,-7.407057209164285
32,32,-6.9942921751501625,-7.693652283866598,-7.409738492350867
33,33,-6.979378653719039,-7.700621031821229,-7.407804530933984
34,34,-6.941107334463656,-7.684417563315896,-7.382622329189918
35,35,-6.902241610019761,-7.6678079118792555,-7.356956894147441
36,36,-6.920184027881726,-7.708197318035395,-7.388212421540531
37,37,-6.885077017907476,-7.695730958116594,-7.366533024236649
38,38,-6.853452324007954,-7.686943377300103,-7.3484521648806895
39,39,-6.815843819354574,-7.672371306203781,-7.32450547208931
40,40,-6.804698368115061,-7.684464524052428,-7.327141603207339
41,41,-6.76782797300768,-7.671038007706295,-7.3041743929176475
42,42,-6.728791091719338,-7.6556532495988225,-7.279164170751419
43,43,-6.693934381580018,-7.644660003977645,-7.258459506892766
44,44,-6.66910716686922,-7.643910755826243,-7.247911680654971
45,45,-6.633651626482366,-7.6327509101959174,-7.226864869357945
46,46,-6.600185383225985,-7.623801383218712,-7.207938738877488
47,47,-6.558347183823647,-7.606704283885151,-7.180774124950128
48,48,-6.6270426727992735,-7.700368689755342,-7.264278808402083
49,49,-6.57959147040689,-7.678117726774589,-7.231774594473445
50,50,-6.533074425021417,-7.657035823610174,-7.200344566654256
